ip		px:		py:		pz:
0		0.5		0.5		0.5
1		1.65442		0.5		0.5
2		2.80883		0.5		0.5
3		3.96325		0.5		0.5
4		5.11766		0.5		0.5
5		6.27208		0.5		0.5
6		7.42649		0.5		0.5
7		8.58091		0.5		0.5
8		9.73533		0.5		0.5
9		10.8897		0.5		0.5
10		12.0442		0.5		0.5
11		13.1986		0.5		0.5
12		14.353		0.5		0.5
13		15.5074		0.5		0.5
14		0.5		1.65442		0.5
15		1.65442		1.65442		0.5
16		2.80883		1.65442		0.5
17		3.96325		1.65442		0.5
18		5.11766		1.65442		0.5
19		6.27208		1.65442		0.5
20		7.42649		1.65442		0.5
21		8.58091		1.65442		0.5
22		9.73533		1.65442		0.5
23		10.8897		1.65442		0.5
24		12.0442		1.65442		0.5
25		13.1986		1.65442		0.5
26		14.353		1.65442		0.5
27		15.5074		1.65442		0.5
28		0.5		2.80883		0.5
29		1.65442		2.80883		0.5
30		2.80883		2.80883		0.5
31		3.96325		2.80883		0.5
32		5.11766		2.80883		0.5
33		6.27208		2.80883		0.5
34		7.42649		2.80883		0.5
35		8.58091		2.80883		0.5
36		9.73533		2.80883		0.5
37		10.8897		2.80883		0.5
38		12.0442		2.80883		0.5
39		13.1986		2.80883		0.5
40		14.353		2.80883		0.5
41		15.5074		2.80883		0.5
42		0.5		3.96325		0.5
43		1.65442		3.96325		0.5
44		2.80883		3.96325		0.5
45		3.96325		3.96325		0.5
46		5.11766		3.96325		0.5
47		6.27208		3.96325		0.5
48		7.42649		3.96325		0.5
49		8.58091		3.96325		0.5
50		9.73533		3.96325		0.5
51		10.8897		3.96325		0.5
52		12.0442		3.96325		0.5
53		13.1986		3.96325		0.5
54		14.353		3.96325		0.5
55		15.5074		3.96325		0.5
56		0.5		5.11766		0.5
57		1.65442		5.11766		0.5
58		2.80883		5.11766		0.5
59		3.96325		5.11766		0.5
60		5.11766		5.11766		0.5
61		6.27208		5.11766		0.5
62		7.42649		5.11766		0.5
63		8.58091		5.11766		0.5
64		9.73533		5.11766		0.5
65		10.8897		5.11766		0.5
66		12.0442		5.11766		0.5
67		13.1986		5.11766		0.5
68		14.353		5.11766		0.5
69		15.5074		5.11766		0.5
70		0.5		6.27208		0.5
71		1.65442		6.27208		0.5
72		2.80883		6.27208		0.5
73		3.96325		6.27208		0.5
74		5.11766		6.27208		0.5
75		6.27208		6.27208		0.5
76		7.42649		6.27208		0.5
77		8.58091		6.27208		0.5
78		9.73533		6.27208		0.5
79		10.8897		6.27208		0.5
80		12.0442		6.27208		0.5
81		13.1986		6.27208		0.5
82		14.353		6.27208		0.5
83		15.5074		6.27208		0.5
84		0.5		7.42649		0.5
85		1.65442		7.42649		0.5
86		2.80883		7.42649		0.5
87		3.96325		7.42649		0.5
88		5.11766		7.42649		0.5
89		6.27208		7.42649		0.5
90		7.42649		7.42649		0.5
91		8.58091		7.42649		0.5
92		9.73533		7.42649		0.5
93		10.8897		7.42649		0.5
94		12.0442		7.42649		0.5
95		13.1986		7.42649		0.5
96		14.353		7.42649		0.5
97		15.5074		7.42649		0.5
98		0.5		8.58091		0.5
99		1.65442		8.58091		0.5
100		2.80883		8.58091		0.5
101		3.96325		8.58091		0.5
102		5.11766		8.58091		0.5
103		6.27208		8.58091		0.5
104		7.42649		8.58091		0.5
105		8.58091		8.58091		0.5
106		9.73533		8.58091		0.5
107		10.8897		8.58091		0.5
108		12.0442		8.58091		0.5
109		13.1986		8.58091		0.5
110		14.353		8.58091		0.5
111		15.5074		8.58091		0.5
112		0.5		9.73533		0.5
113		1.65442		9.73533		0.5
114		2.80883		9.73533		0.5
115		3.96325		9.73533		0.5
116		5.11766		9.73533		0.5
117		6.27208		9.73533		0.5
118		7.42649		9.73533		0.5
119		8.58091		9.73533		0.5
120		9.73533		9.73533		0.5
121		10.8897		9.73533		0.5
122		12.0442		9.73533		0.5
123		13.1986		9.73533		0.5
124		14.353		9.73533		0.5
125		15.5074		9.73533		0.5
126		0.5		10.8897		0.5
127		1.65442		10.8897		0.5
128		2.80883		10.8897		0.5
129		3.96325		10.8897		0.5
130		5.11766		10.8897		0.5
131		6.27208		10.8897		0.5
132		7.42649		10.8897		0.5
133		8.58091		10.8897		0.5
134		9.73533		10.8897		0.5
135		10.8897		10.8897		0.5
136		12.0442		10.8897		0.5
137		13.1986		10.8897		0.5
138		14.353		10.8897		0.5
139		15.5074		10.8897		0.5
140		0.5		12.0442		0.5
141		1.65442		12.0442		0.5
142		2.80883		12.0442		0.5
143		3.96325		12.0442		0.5
144		5.11766		12.0442		0.5
145		6.27208		12.0442		0.5
146		7.42649		12.0442		0.5
147		8.58091		12.0442		0.5
148		9.73533		12.0442		0.5
149		10.8897		12.0442		0.5
150		12.0442		12.0442		0.5
151		13.1986		12.0442		0.5
152		14.353		12.0442		0.5
153		15.5074		12.0442		0.5
154		0.5		13.1986		0.5
155		1.65442		13.1986		0.5
156		2.80883		13.1986		0.5
157		3.96325		13.1986		0.5
158		5.11766		13.1986		0.5
159		6.27208		13.1986		0.5
160		7.42649		13.1986		0.5
161		8.58091		13.1986		0.5
162		9.73533		13.1986		0.5
163		10.8897		13.1986		0.5
164		12.0442		13.1986		0.5
165		13.1986		13.1986		0.5
166		14.353		13.1986		0.5
167		15.5074		13.1986		0.5
